iter	Passed	Remaining
184	418	712
185	421	711
186	423	708
187	425	706
188	427	702
189	428	699
190	430	696
191	432	693
192	434	690
193	436	688
194	438	686
195	440	683
196	442	681
197	444	678
198	446	676
199	448	673
200	450	670
201	452	667
202	454	665
203	456	662
204	458	659
205	460	657
206	462	654
207	464	651
208	466	649
209	467	646
210	469	643
211	471	640
212	473	637
213	475	635
214	477	632
215	479	630
216	481	627
217	482	624
218	485	622
219	487	620
220	490	618
221	492	617
222	495	614
223	497	612
224	499	610
225	502	608
226	504	606
227	506	604
228	508	602
229	511	600
230	513	598
231	516	596
232	518	594
233	521	592
234	523	590
235	525	588
236	528	586
237	530	583
238	532	581
239	535	579
240	537	577
241	539	574
242	541	572
243	543	570
244	545	567
245	547	565
246	549	562
247	550	559
248	552	556
249	553	553
250	555	550
251	556	547
252	557	544
253	559	541
254	560	538
255	561	535
256	563	532
257	565	530
258	568	528
259	569	526
260	572	523
261	574	521
262	576	519
263	578	517
264	580	514
265	582	512
266	584	510
267	586	507
268	588	505
269	590	502
270	592	500
271	593	497
272	595	495
273	598	493
274	600	491
275	602	488
276	604	486
277	606	484
278	608	481
279	610	479
280	612	477
281	614	474
282	616	472
283	618	470
284	620	467
285	622	465
286	624	463
287	626	460
288	628	458
289	630	456
290	632	454
291	634	451
292	636	449
293	638	447
294	640	444
295	642	442
296	644	440
297	646	438
298	647	435
299	649	432
300	650	430
301	652	427
302	653	424
303	655	422
304	656	419
305	658	417
306	659	414
307	661	412
308	663	410
309	665	407
310	667	405
311	668	403
312	670	400
313	672	398
314	674	396
315	676	394
316	678	391
317	680	389
318	682	387
319	683	384
320	685	382
321	687	380
322	689	377
323	692	376
324	694	373
325	696	371
326	698	369
327	700	367
328	702	365
329	704	363
330	707	361
331	709	358
332	711	356
333	713	354
334	715	352
335	718	350
336	720	348
337	722	346
338	724	344
339	726	342
340	729	340
341	731	338
342	734	336
343	736	333
344	739	332
345	741	329
346	744	328
347	746	325
348	748	323
349	750	321
350	753	319
351	755	317
352	758	315
353	760	313
354	762	311
355	764	309
356	767	307
357	769	305
358	772	303
359	774	301
360	776	299
361	779	296
362	781	294
363	782	292
364	785	290
365	788	288
366	790	286
367	793	284
368	795	282
369	797	280
370	800	278
371	802	276
372	805	274
373	807	272
374	810	270
375	812	267
376	814	265
377	817	263
378	820	261
379	822	259
380	825	257
381	827	255
382	829	253
383	832	251
384	834	249
385	837	247
386	840	245
387	842	243
388	845	241
389	848	239
390	850	237
391	852	234
392	855	232
393	857	230
394	859	228
395	862	226
396	865	224
397	868	222
398	870	220
399	872	218
400	874	216
401	877	213
402	879	211
403	883	210
404	885	207
405	888	205
406	891	203
407	893	201
408	897	199
409	900	197
410	902	195
411	905	193
412	908	191
413	911	189
414	914	187
415	917	185
416	920	183
417	922	181
418	925	178
419	928	176
420	931	174
421	933	172
422	936	170
423	938	168
424	941	166
425	944	164
426	946	161
427	949	159
428	952	157
429	954	155
430	957	153
431	959	151
432	961	148
433	963	146
434	965	144
435	967	142
436	970	139
437	972	137
438	974	135
439	976	133
440	978	130
441	980	128
442	983	126
443	984	124
444	986	121
445	988	119
446	991	117
447	993	115
448	995	113
449	997	110
450	1000	108
451	1002	106
452	1005	104
453	1007	102
454	1009	99
455	1011	97
456	1013	95
457	1016	93
458	1018	90
459	1020	88
460	1022	86
461	1025	84
462	1026	82
463	1028	79
464	1030	77
465	1033	75
466	1035	73
467	1037	70
468	1039	68
469	1042	66
470	1044	64
471	1048	62
472	1050	59
473	1052	57
474	1055	55
475	1057	53
476	1059	51
477	1061	48
478	1063	46
479	1065	44
480	1068	42
481	1070	39
482	1072	37
483	1075	35
484	1077	33
485	1079	31
486	1082	28
487	1085	26
488	1087	24
489	1089	22
490	1091	20
491	1093	17
492	1095	15
493	1096	13
494	1098	11
495	1101	8
496	1103	6
497	1105	4
498	1107	2
499	1108	0
